5OEVQ staropramen
6CW90 ozujsko
7XKUU karlovacko
96YWP nektar
ADXRY pan
AUG0Q heinkene
AVJMQ lasko
BA1LW jelen
DJUUJ budweiser
DKSHV paulaner
DYP17 corona
EANZ7 franciskaner
ED4ND becks
FERRA stella
FN9QK krombacher
HEZWD zlatni_medo
HSV25 loza
IEST4 sljiva
IMUZW medovaca
IZM0I visnjevaca
JZD5O orahovac
L3845 pelin_gorki
L4371 pelin_slatki
M3QEQ viljamovka
PV9EB konjak
QMWIZ jeger
T3SZJ votka
TBHO3 djin
V3KZ3 travarica
13WDZ lowenbrau
20NRU carlsberg
2CWQD tuborg
X7E5L amstel
YHFTT guinness
ZHIY1 bavaria
